סמל היישוב,שם יישוב,מחוז,נפה,צורת יישוב,מעמד מוניציפלי,אזור טבעי,אוכלוסייה - סך הכל,מזה: יהודים ואחרים,מזה: יהודים,מזה: ערבים,אשכול רשויות מקומיות
249,כפר סירקין,המרכז,פתח תקווה,מושבים - לרבות כפרים שיתופיים,דרום השרון,אזור פתח תקווה,"1,543","1,543","1,528",-,אשכול רשויות השרון            
875,כפר עבודה,המרכז,השרון,יישובים מוסדיים יהודיים,לב השרון,מערב השרון,212,211,211,1,אשכול רשויות השרון            
845,כפר עזה,הדרום,אשקלון,קיבוצים,שער הנגב,אזור אשקלון,765,764,746,1,אשכול רשויות נגב מערבי        
3488,כפר עציון,יהודה והשומרון,,קיבוצים,גוש עציון,,"1,279","1,238","1,238",41,
189,כפר פינס,חיפה,חדרה,מושבים - לרבות כפרים שיתופיים,מנשה,אזור חדרה,"1,106","1,106","1,105",-,
634,כפר קאסם,המרכז,פתח תקווה,יישובים לא יהודיים 49999-20000 תושבים,עירייה,אזור פתח תקווה,"24,756",44,16,"24,712",אשכול רשויות השרון            
388,כפר קיש,הצפון,כנרת,מושבים - לרבות כפרים שיתופיים,הגליל התחתון,גליל תחתון מזרחי,685,678,674,7,אשכול רשויות הכנרת והעמקים    
654,כפר קרע,חיפה,חדרה,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,הר אלכסנדר,"19,691",27,4,"19,664",
579,כפר ראש הנקרה,הצפון,עכו,קיבוצים,מטה אשר,אזור נהרייה,"1,406","1,405","1,378",1,אשכול רשויות גליל מערבי       
1130,כפר רוזנואלד (זרעית),הצפון,עכו,מושבים - לרבות כפרים שיתופיים,מעלה יוסף,אזור אילון,237,237,237,-,אשכול רשויות גליל מערבי       
295,כפר רופין,הצפון,יזרעאל,קיבוצים,עמק המעיינות,עמק בית שאן,526,525,515,1,אשכול רשויות הכנרת והעמקים    
1166,כפר רות,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,חבל מודיעין,אזור מודיעין,285,285,278,-,
605,כפר שמאי,הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מרום הגליל,גליל עליון מזרחי,575,575,575,-,אשכול רשויות גליל מזרחי       
743,כפר שמואל,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,גזר,אזור רמלה,969,968,949,1,
267,כפר שמריהו,תל אביב,תל אביב,יישובים כפריים אחרים יהודיים,מועצה מקומית,אזור תל אביב,"1,948","1,931","1,865",17,
47,כפר תבור,הצפון,כנרת,יישובים יהודיים 4999-2000 תושבים,מועצה מקומית,גליל תחתון מזרחי,"4,426","4,400","4,303",26,אשכול רשויות הכנרת והעמקים    
3572,כפר תפוח,יהודה והשומרון,,יישובים קהילתיים,שומרון,,"1,522","1,522","1,521",-,אשכול יהודה ושומרון           
1285,כרכום,הצפון,צפת,יישובים קהילתיים,מבואות החרמון,אזור חצור,517,515,502,2,אשכול רשויות גליל מזרחי       
664,כרם בן זמרה,הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מרום הגליל,גליל עליון מזרחי,529,529,528,-,אשכול רשויות גליל מזרחי       
88,כרם בן שמן,המרכז,רמלה,יישובים כפריים אחרים יהודיים,חבל מודיעין,אזור רמלה,87,87,87,-,
1094,כרם יבנה (ישיבה),המרכז,רחובות,יישובים מוסדיים יהודיים,חבל יבנה,אזור רחובות,538,538,538,-,אשכול רשויות שורק דרומי       
580,"כרם מהר""ל",חיפה,חדרה,מושבים - לרבות כפרים שיתופיים,חוף הכרמל,אזור זכרון יעקב,767,758,746,9,
1085,כרם שלום,הדרום,באר שבע,קיבוצים,אשכול,אזור בשור,194,184,176,10,אשכול רשויות נגב מערבי        
1264,כרמי יוסף,המרכז,רמלה,יישובים כפריים אחרים יהודיים,גזר,אזור רמלה,"1,757","1,757","1,736",-,
3766,כרמי צור,יהודה והשומרון,,יישובים קהילתיים,גוש עציון,,964,964,962,-,
1374,כרמי קטיף,הדרום,אשקלון,יישובים קהילתיים,לכיש,אזור לכיש,649,649,649,-,
1139,כרמיאל,הצפון,עכו,יישובים יהודיים 49999-20000 תושבים,עירייה,אזור כרמיאל,"46,311","44,540","36,515","1,771",אשכול רשויות בית הכרם הגלילי  
768,כרמייה,הדרום,אשקלון,קיבוצים,חוף אשקלון,אזור אשקלון,651,651,627,-,אשכול רשויות נגב מערבי        
1198,כרמים,הדרום,באר שבע,קיבוצים,בני שמעון,אזור באר שבע,526,526,526,-,אשכול רשויות נגב מערבי        
3656,כרמל,יהודה והשומרון,,מושבים שיתופיים,הר חברון,,467,467,467,-,אשכול יהודה ושומרון           
1207,לבון,הצפון,עכו,יישובים כפריים אחרים יהודיים,משגב,אזור יחיעם,727,726,710,1,אשכול רשויות בית הכרם הגלילי  
585,לביא,הצפון,כנרת,קיבוצים,הגליל התחתון,גליל תחתון מזרחי,616,616,615,-,אשכול רשויות הכנרת והעמקים    
1230,לבנים,הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מרום הגליל,גליל תחתון מרכזי,473,472,450,1,אשכול רשויות גליל מזרחי       
2023,להב,הדרום,באר שבע,קיבוצים,בני שמעון,אזור באר שבע,656,655,646,1,אשכול רשויות נגב מערבי        
380,להבות הבשן,הצפון,צפת,קיבוצים,הגליל העליון,עמק חולה,922,919,859,3,אשכול רשויות גליל מזרחי       
715,להבות חביבה,חיפה,חדרה,קיבוצים,מנשה,אזור חדרה,"1,062","1,062","1,050",-,
1271,להבים,הדרום,באר שבע,יישובים יהודיים 9999-5000 תושבים,מועצה מקומית,אזור באר שבע,"6,977","6,721","6,571",256,
7000,לוד,המרכז,רמלה,יישובים יהודיים 99999-50000 תושבים,עירייה,אזור רמלה,"82,629","57,988","51,671","24,641",
52,לוזית,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,שפלת יהודה,862,860,845,2,
595,לוחמי הגיטאות,הצפון,עכו,קיבוצים,מטה אשר,אזור נהרייה,816,816,795,-,אשכול רשויות גליל מערבי       
1171,לוטם,הצפון,עכו,קיבוצים,משגב,אזור כרמיאל,783,726,716,57,אשכול רשויות בית הכרם הגלילי  
1255,לוטן,הדרום,באר שבע,קיבוצים,חבל אילות,הערבה,202,202,181,-,אשכול רשויות נגב מזרחי        
674,לימן,הצפון,עכו,מושבים - לרבות כפרים שיתופיים,מטה אשר,אזור נהרייה,674,673,648,1,אשכול רשויות גליל מערבי       
24,לכיש,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,לכיש,אזור לכיש,800,800,787,-,
1310,לפיד,המרכז,רמלה,יישובים יהודיים 4999-2000 תושבים,חבל מודיעין,אזור מודיעין,"2,322","2,322","2,306",-,
1173,לפידות,הצפון,עכו,מושבים - לרבות כפרים שיתופיים,מעלה יוסף,אזור יחיעם,129,129,122,-,אשכול רשויות גליל מערבי       
1060,לקיה,הדרום,באר שבע,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,אזור באר שבע,"15,294",15,-,"15,279",אשכול רשויות נגב מערבי        
2055,מאור,חיפה,חדרה,מושבים - לרבות כפרים שיתופיים,מנשה,אזור חדרה,"1,442","1,442","1,411",-,
102,מאיר שפיה,חיפה,חדרה,יישובים מוסדיים יהודיים,חוף הכרמל,אזור זכרון יעקב,352,317,193,35,
771,מבוא ביתר,ירושלים,ירושלים,מושבים שיתופיים,מטה יהודה,הרי יהודה,"1,013","1,013",998,-,
3569,מבוא דותן,יהודה והשומרון,יהודה ושומרון,יישובים קהילתיים,שומרון,,509,509,505,-,אשכול יהודה ושומרון           
3709,מבוא חורון,יהודה והשומרון,,מושבים שיתופיים 4999-2000 תושבים,מטה בנימין,,"2,694","2,694","2,694",-,אשכול יהודה ושומרון           
4204,מבוא חמה,הצפון,גולן,קיבוצים,גולן,גולן דרומי,459,459,449,-,אשכול רשויות גליל מזרחי       
1141,מבוא מודיעים,המרכז,רמלה,יישובים קהילתיים,חבל מודיעין,אזור מודיעין,247,247,246,-,
1318,מבואות ים,המרכז,השרון,יישובים מוסדיים יהודיים,עמק חפר,מערב השרון,365,364,338,1,
3825,מבואות יריחו,יהודה והשומרון,,יישובים קהילתיים,ערבות הירדן,,228,228,228,-,
1080,מבועים,הדרום,באר שבע,יישובים כפריים אחרים יהודיים,מרחבים,אזור גרר,"1,250","1,249","1,228",1,אשכול רשויות נגב מערבי        
829,מבטחים,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,אשכול,אזור בשור,463,463,457,-,אשכול רשויות נגב מערבי        
573,מבקיעים,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,חוף אשקלון,אזור אשקלון,508,508,498,-,אשכול רשויות נגב מערבי        
1015,מבשרת ציון,ירושלים,ירושלים,יישובים יהודיים 49999-20000 תושבים,מועצה מקומית,הרי יהודה,"24,943","24,848","24,030",95,
481,מגאר,הצפון,כנרת,יישובים לא יהודיים 49999-20000 תושבים,עירייה,גליל תחתון מזרחי,"23,625",20,10,"23,605",אשכול רשויות הכנרת והעמקים    
516,מג'ד אל-כרום,הצפון,עכו,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,אזור כרמיאל,"15,630",16,8,"15,614",אשכול רשויות בית הכרם הגלילי  
689,מגדים,חיפה,חדרה,מושבים - לרבות כפרים שיתופיים,חוף הכרמל,חוף הכרמל,"1,388","1,388","1,365",-,
65,מגדל,הצפון,כנרת,יישובים כפריים אחרים יהודיים,מועצה מקומית,כנרות,"1,988","1,937","1,885",51,אשכול רשויות הכנרת והעמקים    
874,מגדל העמק,הצפון,יזרעאל,יישובים יהודיים 49999-20000 תושבים,עירייה,הרי נצרת-תירען,"26,029","26,017","23,100",12,אשכול רשויות הגליל והעמקים    
3561,מגדל עוז,יהודה והשומרון,,קיבוצים,גוש עציון,,566,566,565,-,
4201,מג'דל שמס,הצפון,גולן,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,אזור החרמון,"11,404",1,-,"11,403",אשכול רשויות גליל מזרחי       
1722,מגדל תפן,הצפון,עכו,מוקד תעסוקה,מועצה מקומית,אזור יחיעם,-,-,-,-,אשכול רשויות גליל מערבי       
3751,מגדלים,יהודה והשומרון,,יישובים קהילתיים,שומרון,,543,543,530,-,אשכול יהודה ושומרון           
586,מגידו,הצפון,יזרעאל,קיבוצים,מגידו,עמק יזרעאל,858,858,843,-,אשכול רשויות הגליל והעמקים    
375,מגל,חיפה,חדרה,קיבוצים,מנשה,אזור חדרה,"1,177","1,177","1,165",-,
695,מגן,הדרום,באר שבע,קיבוצים,אשכול,אזור בשור,537,529,485,8,אשכול רשויות נגב מערבי        
1155,מגן שאול,הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,הגלבוע,עמק יזרעאל,734,734,589,-,אשכול רשויות הגליל והעמקים    
722,מגשימים,המרכז,פתח תקווה,מושבים - לרבות כפרים שיתופיים,דרום השרון,אזור פתח תקווה,"1,090","1,089","1,085",1,אשכול רשויות השרון            
2029,מדרך עוז,הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,מגידו,עמק יזרעאל,828,828,751,-,אשכול רשויות הגליל והעמקים    
1140,מדרשת בן גוריון,הדרום,באר שבע,יישובים כפריים אחרים יהודיים,רמת נגב,הר הנגב הצפוני,"1,956","1,953","1,855",3,אשכול רשויות נגב מזרחי        
897,מדרשת רופין,המרכז,השרון,יישובים מוסדיים יהודיים,עמק חפר,מערב השרון,228,119,115,109,
3797,מודיעין עילית,יהודה והשומרון,,יישובים יהודיים 99999-50000 תושבים,עירייה,,"80,997","80,997","80,983",-,אשכול יהודה ושומרון           
1200,מודיעין-מכבים-רעות*,המרכז,רמלה,יישובים יהודיים 99999-50000 תושבים,עירייה,אזור מודיעין,"97,097","97,059","94,927",38,
269,מולדת,הצפון,יזרעאל,מושבים שיתופיים,הגלבוע,רמת כוכב,"1,096","1,096","1,087",-,אשכול רשויות הגליל והעמקים    
208,מוצא עילית,ירושלים,ירושלים,יישובים כפריים אחרים יהודיים,מטה יהודה,הרי יהודה,"1,524","1,514","1,474",10,
635,מוקייבלה,הצפון,יזרעאל,יישובים לא יהודיים 4999-2000 תושבים,הגלבוע,עמק יזרעאל,"4,261",4,4,"4,257",אשכול רשויות הגליל והעמקים    
1163,מורן,הצפון,עכו,קיבוצים,משגב,אזור כרמיאל,497,493,481,4,אשכול רשויות בית הכרם הגלילי  
1178,מורשת,הצפון,עכו,יישובים קהילתיים,משגב,אזור שפרעם,"1,592","1,592","1,592",-,אשכול רשויות בית הכרם הגלילי  
606,מזור,המרכז,פתח תקווה,מושבים - לרבות כפרים שיתופיים,חבל מודיעין,אזור פתח תקווה,"1,329","1,329","1,321",-,
28,מזכרת בתיה,המרכז,רחובות,יישובים יהודיים 19999-10000 תושבים,מועצה מקומית,אזור רחובות,"15,424","15,416","15,196",8,אשכול רשויות שורק דרומי       
104,מזרע,הצפון,יזרעאל,קיבוצים,עמק יזרעאל,עמק יזרעאל,792,792,768,-,אשכול רשויות הגליל והעמקים    
517,מזרעה,הצפון,עכו,יישובים לא יהודיים 4999-2000 תושבים,מועצה מקומית,אזור נהרייה,"4,078",13,8,"4,065",אשכול רשויות גליל מערבי       
3599,מחולה,יהודה והשומרון,,מושבים - לרבות כפרים שיתופיים,ערבות הירדן,,649,649,648,-,אשכול יהודה ושומרון           
1196,מחנה יתיר,הדרום,באר שבע,יישובים כפריים אחרים יהודיים,,אזור באר שבע,304,283,283,21,
308,מחניים,הצפון,צפת,קיבוצים,הגליל העליון,אזור חצור,815,814,798,1,אשכול רשויות גליל מזרחי       
776,מחסיה,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,שפלת יהודה,493,493,492,-,
43,מטולה,הצפון,צפת,יישובים כפריים אחרים יהודיים,מועצה מקומית,עמק חולה,"1,692","1,630","1,544",62,אשכול רשויות גליל מזרחי       
822,מטע,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,הרי יהודה,961,959,936,2,
1128,מי עמי,חיפה,חדרה,מושבים שיתופיים,מנשה,הר אלכסנדר,363,363,357,-,
2054,מיטב,הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,הגלבוע,עמק יזרעאל,460,460,453,-,אשכול רשויות הגליל והעמקים    
649,מייסר,חיפה,חדרה,יישובים לא יהודיים 4999-2000 תושבים,מנשה,הר אלכסנדר,"2,084",9,9,"2,075",
4019,מיצר,הצפון,גולן,מושבים - לרבות כפרים שיתופיים,גולן,גולן דרומי,324,324,319,-,אשכול רשויות גליל מזרחי       
1282,מירב,הצפון,יזרעאל,קיבוצים,עמק המעיינות,עמק בית שאן,744,744,744,-,אשכול רשויות הכנרת והעמקים    
607,מירון,הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מרום הגליל,גליל עליון מזרחי,"1,091","1,091","1,090",-,אשכול רשויות גליל מזרחי       
731,מישר,המרכז,רחובות,מושבים - לרבות כפרים שיתופיים,גדרות,אזור רחובות,811,811,798,-,
1268,מיתר,הדרום,באר שבע,יישובים יהודיים 19999-10000 תושבים,מועצה מקומית,אזור באר שבע,"10,566","10,370","10,175",196,אשכול רשויות נגב מזרחי        
3614,מכורה,יהודה והשומרון,,מושבים - לרבות כפרים שיתופיים,ערבות הירדן,,185,185,166,-,אשכול יהודה ושומרון           
1343,מכחול,הדרום,באר שבע,יישובים כפריים אחרים לא יהודיים,אל קסום,אזור באר שבע,"1,126",-,-,"1,126",אשכול רשויות נגב מזרחי        
382,מכמורת,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,"1,504","1,504","1,454",-,
1202,מכמנים,הצפון,עכו,יישובים קהילתיים,משגב,אזור כרמיאל,597,576,543,21,אשכול רשויות בית הכרם הגלילי  
164,מלאה,הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,הגלבוע,עמק יזרעאל,375,375,370,-,אשכול רשויות הגליל והעמקים    
2044,מלילות,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,שדות נגב,אזור גרר,381,381,381,-,אשכול רשויות נגב מערבי        
596,מלכייה,הצפון,צפת,קיבוצים,הגליל העליון,גליל עליון מזרחי,436,436,388,-,אשכול רשויות גליל מזרחי       
1154,מלכישוע,הצפון,יזרעאל,יישובים מוסדיים יהודיים,עמק המעיינות,עמק בית שאן,243,228,199,15,אשכול רשויות הכנרת והעמקים    
2030,מנוחה,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,לכיש,אזור מלאכי,668,668,660,-,
1174,מנוף,הצפון,עכו,מושבים - לרבות כפרים שיתופיים,משגב,אזור שפרעם,858,858,854,-,אשכול רשויות בית הכרם הגלילי  
1205,מנות,הצפון,עכו,מושבים - לרבות כפרים שיתופיים,מעלה יוסף,אזור יחיעם,497,497,494,-,אשכול רשויות גליל מערבי       
48,מנחמיה,הצפון,יזרעאל,יישובים כפריים אחרים יהודיים,עמק המעיינות,עמק בית שאן,"1,065","1,060","1,030",5,אשכול רשויות הכנרת והעמקים    
347,מנרה,הצפון,צפת,קיבוצים,הגליל העליון,גליל עליון מזרחי,266,266,237,-,אשכול רשויות גליל מזרחי       
994,מנשית זבדה,הצפון,,יישובים כפריים אחרים לא יהודיים,עמק יזרעאל,הרי נצרת-תירען,"1,471",-,-,"1,471",אשכול רשויות הגליל והעמקים    
1258,מסד,הצפון,כנרת,יישובים קהילתיים,הגליל התחתון,גליל תחתון מזרחי,387,386,367,1,אשכול רשויות הכנרת והעמקים    
263,מסדה,הצפון,כנרת,קיבוצים,עמק הירדן,כנרות,376,372,360,4,אשכול רשויות הכנרת והעמקים    
298,מסילות,הצפון,יזרעאל,קיבוצים,עמק המעיינות,עמק בית שאן,463,463,448,-,אשכול רשויות הכנרת והעמקים    
742,מסילת ציון,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,שפלת יהודה,"1,214","1,207","1,189",7,
748,מסלול,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,מרחבים,אזור בשור,902,902,897,-,אשכול רשויות נגב מערבי        
4203,מסעדה,הצפון,גולן,יישובים לא יהודיים 4999-2000 תושבים,מועצה מקומית,גולן צפוני,"3,812",-,-,"3,812",אשכול רשויות גליל מזרחי       
197,מעברות,המרכז,השרון,קיבוצים,עמק חפר,מערב השרון,983,983,964,-,
1082,מעגלים,הדרום,באר שבע,יישובים יהודיים 4999-2000 תושבים,שדות נגב,אזור גרר,"2,058","2,058","2,058",-,אשכול רשויות נגב מערבי        
678,מעגן,הצפון,כנרת,קיבוצים,עמק הירדן,כנרות,394,394,380,-,אשכול רשויות הכנרת והעמקים    
694,מעגן מיכאל,חיפה,חדרה,קיבוצים 4999-2000 תושבים,חוף הכרמל,חוף הכרמל,"2,069","2,069","1,986",-,
272,מעוז חיים,הצפון,יזרעאל,קיבוצים,עמק המעיינות,עמק בית שאן,502,501,486,1,אשכול רשויות הכנרת והעמקים    
3657,מעון,יהודה והשומרון,,מושבים שיתופיים,הר חברון,,592,592,592,-,אשכול יהודה ושומרון           
570,מעונה,הצפון,עכו,מושבים - לרבות כפרים שיתופיים,מעלה יוסף,אזור יחיעם,974,969,950,5,אשכול רשויות גליל מערבי       
416,מעיין ברוך,הצפון,צפת,קיבוצים,הגליל העליון,עמק חולה,724,724,713,-,אשכול רשויות גליל מזרחי       
290,מעיין צבי,חיפה,חדרה,קיבוצים,חוף הכרמל,אזור זכרון יעקב,762,762,757,-,
518,מעיליא,הצפון,עכו,יישובים לא יהודיים 4999-2000 תושבים,מועצה מקומית,אזור יחיעם,"3,267",79,68,"3,188",אשכול רשויות גליל מערבי       
3616,מעלה אדומים,יהודה והשומרון,,יישובים יהודיים 49999-20000 תושבים,עירייה,,"37,555","37,499","36,203",56,
3608,מעלה אפרים,יהודה והשומרון,,יישובים כפריים אחרים יהודיים,מועצה מקומית,,"1,318","1,314","1,205",4,
1127,מעלה גלבוע,הצפון,יזרעאל,קיבוצים,עמק המעיינות,עמק בית שאן,830,830,830,-,אשכול רשויות הכנרת והעמקים    
4008,מעלה גמלא,הצפון,גולן,מושבים - לרבות כפרים שיתופיים,גולן,גולן תיכוני,573,573,553,-,אשכול רשויות גליל מזרחי       
286,מעלה החמישה,ירושלים,ירושלים,קיבוצים,מטה יהודה,הרי יהודה,846,843,831,3,
3752,מעלה לבונה,יהודה והשומרון,,יישובים קהילתיים,מטה בנימין,,976,976,974,-,אשכול יהודה ושומרון           
3651,מעלה מכמש,יהודה והשומרון,,יישובים קהילתיים,מטה בנימין,,"1,691","1,691","1,691",-,אשכול יהודה ושומרון           
1327,מעלה עירון,חיפה,חדרה,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,הר אלכסנדר,"15,642",6,3,"15,636",
3653,מעלה עמוס,יהודה והשומרון,,יישובים קהילתיים,גוש עציון,,822,822,821,-,
1063,מעלות-תרשיחא,הצפון,עכו,יישובים יהודיים 49999-20000 תושבים,עירייה,אזור יחיעם,"22,314","17,339","14,411","4,975",אשכול רשויות גליל מערבי       
344,מענית,חיפה,חדרה,קיבוצים,מנשה,אזור חדרה,874,874,838,-,
230,מעש,המרכז,פתח תקווה,מושבים - לרבות כפרים שיתופיים,דרום השרון,אזור פתח תקווה,835,835,830,-,אשכול רשויות השרון            
668,מפלסים,הדרום,אשקלון,קיבוצים,שער הנגב,אזור אשקלון,"1,038","1,035","1,008",3,אשכול רשויות נגב מערבי        
1767,"מפעלי אבשלו""ם",הדרום,באר שבע,מוקד תעסוקה,בני שמעון,אזור גרר,-,-,-,-,אשכול רשויות נגב מערבי        
1791,מפעלי ברקן,יהודה והשומרון,,מוקד תעסוקה,שומרון,,-,-,-,-,אשכול יהודה ושומרון           
1706,מפעלי גליל עליון,הצפון,צפת,מוקד תעסוקה,הגליל העליון,עמק חולה,-,-,-,-,אשכול רשויות גליל מזרחי       
1739,מפעלי גרנות,חיפה,חדרה,מוקד תעסוקה,מנשה,אזור חדרה,-,-,-,-,
1717,מפעלי העמק (יזרעאל),הצפון,יזרעאל,מוקד תעסוקה,עמק יזרעאל,עמק יזרעאל,-,-,-,-,אשכול רשויות הגליל והעמקים    
1729,מפעלי חבל מודיעים,המרכז,רמלה,מוקד תעסוקה,חבל מודיעין,אזור רמלה,-,-,-,-,
1775,מפעלי ים המלח(סדום),הדרום,באר שבע,מוקד תעסוקה,תמר,אזור ים המלח,-,-,-,-,
1753,מפעלי כנות,הדרום,אשקלון,מוקד תעסוקה,באר טוביה,אזור מלאכי,-,-,-,-,אשכול רשויות שורק דרומי       
1773,מפעלי מישור רותם,הדרום,באר שבע,מוקד תעסוקה,תמר,הר הנגב הצפוני,-,-,-,-,
1769,מפעלי מעון,הדרום,באר שבע,מוקד תעסוקה,אשכול,אזור בשור,-,-,-,-,אשכול רשויות נגב מערבי        
1701,מפעלי נחם הרטוב,ירושלים,ירושלים,מוקד תעסוקה,מטה יהודה,שפלת יהודה,-,-,-,-,
1761,מפעלי צומת מלאכי,הדרום,אשקלון,מוקד תעסוקה,באר טוביה,אזור מלאכי,-,-,-,-,אשכול רשויות שורק דרומי       
1776,מפעלי צין - ערבה,הדרום,באר שבע,מוקד תעסוקה,הערבה התיכונה,הר הנגב הצפוני,-,-,-,-,אשכול רשויות נגב מזרחי        
1711,מפעלי צמח,הצפון,כנרת,מוקד תעסוקה,עמק הירדן,כנרות,-,-,-,-,אשכול רשויות הכנרת והעמקים    
1719,מפעלי שאן,הצפון,יזרעאל,מוקד תעסוקה,עמק המעיינות,עמק בית שאן,-,-,-,-,אשכול רשויות הכנרת והעמקים    
3745,מצדות יהודה,יהודה והשומרון,,מושבים שיתופיים,הר חברון,,634,634,633,-,אשכול יהודה ושומרון           
325,מצובה,הצפון,עכו,קיבוצים,מטה אשר,אזור אילון,"1,157","1,157","1,134",-,אשכול רשויות גליל מערבי       
757,מצליח,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,גזר,אזור רמלה,"1,343","1,343","1,323",-,
58,מצפה,הצפון,כנרת,יישובים כפריים אחרים יהודיים,הגליל התחתון,גליל תחתון מזרחי,128,128,126,-,אשכול רשויות הכנרת והעמקים    
1222,"מצפה אבי""ב",הצפון,עכו,יישובים קהילתיים,משגב,אזור שפרעם,"1,076","1,076","1,066",-,אשכול רשויות בית הכרם הגלילי  
1370,מצפה אילן,חיפה,חדרה,יישובים קהילתיים,מנשה,הר אלכסנדר,752,752,751,-,
3576,מצפה יריחו,יהודה והשומרון,,יישובים יהודיים 4999-2000 תושבים,מטה בנימין,,"2,638","2,638","2,634",-,אשכול יהודה ושומרון           
1190,מצפה נטופה,הצפון,יזרעאל,יישובים קהילתיים,הגליל התחתון,הרי נצרת-תירען,"1,054","1,054","1,054",-,אשכול רשויות הכנרת והעמקים    
99,מצפה רמון,הדרום,באר שבע,יישובים יהודיים 9999-5000 תושבים,מועצה מקומית,הר הנגב הצפוני,"5,179","4,970","4,565",209,אשכול רשויות נגב מזרחי        
3610,מצפה שלם,יהודה והשומרון,,קיבוצים,מגילות ים המלח,,238,236,234,2,אשכול יהודה ושומרון           
648,מצר,חיפה,חדרה,קיבוצים,מנשה,אזור חדרה,389,389,362,-,
22,מקווה ישראל,תל אביב,,יישובים מוסדיים יהודיים,,אזור חולון,379,376,357,3,
843,מרגליות,הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מבואות החרמון,גליל עליון מזרחי,416,414,410,2,אשכול רשויות גליל מזרחי       
4101,מרום גולן,הצפון,גולן,קיבוצים,גולן,גולן צפוני,754,754,730,-,אשכול רשויות גליל מזרחי       
1340,מרחב עם,הדרום,באר שבע,יישובים קהילתיים,רמת נגב,הר הנגב הצפוני,521,521,521,-,אשכול רשויות נגב מזרחי        
97,מרחביה (מושב),הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,עמק יזרעאל,עמק יזרעאל,663,663,653,-,אשכול רשויות הגליל והעמקים    
66,מרחביה (קיבוץ),הצפון,יזרעאל,קיבוצים,עמק יזרעאל,עמק יזרעאל,"1,298","1,298","1,158",-,אשכול רשויות הגליל והעמקים    
1713,מרכז אזורי כדורי,הצפון,כנרת,מוקד תעסוקה,הגליל התחתון,גליל תחתון מזרחי,-,-,-,-,אשכול רשויות הכנרת והעמקים    
1708,מרכז אזורי מרום הגליל,הצפון,צפת,מוקד תעסוקה,מרום הגליל,גליל עליון מזרחי,-,-,-,-,אשכול רשויות גליל מזרחי       
1723,מרכז אזורי משגב,הצפון,עכו,מוקד תעסוקה,משגב,אזור שפרעם,-,-,-,-,אשכול רשויות בית הכרם הגלילי  
1747,מרכז אזורי שוהם,המרכז,רמלה,מוקד תעסוקה,חבל מודיעין,אזור רמלה,-,-,-,-,
1705,"מרכז כ""ח",הצפון,צפת,מוקד תעסוקה,מבואות החרמון,עמק חולה,-,-,-,-,אשכול רשויות גליל מזרחי       
1715,"מרכז מיר""ב*",חיפה,חדרה,מוקד תעסוקה,חוף הכרמל,אזור זכרון יעקב,-,-,-,-,
1098,מרכז שפירא,הדרום,אשקלון,יישובים יהודיים 4999-2000 תושבים,שפיר,אזור מלאכי,"2,589","2,589","2,588",-,
421,משאבי שדה,הדרום,באר שבע,קיבוצים,רמת נגב,הר הנגב הצפוני,474,474,417,-,אשכול רשויות נגב מזרחי        
765,משגב דב,המרכז,רחובות,מושבים - לרבות כפרים שיתופיים,גדרות,אזור רחובות,714,712,706,2,
378,משגב עם,הצפון,צפת,קיבוצים,הגליל העליון,גליל עליון מזרחי,358,358,311,-,אשכול רשויות גליל מזרחי       
520,משהד,הצפון,,יישובים לא יהודיים 9999-5000 תושבים,מועצה מקומית,הרי נצרת-תירען,"8,655",-,-,"8,655",אשכול רשויות הגליל והעמקים    
3605,משואה,יהודה והשומרון,,מושבים - לרבות כפרים שיתופיים,ערבות הירדן,,263,259,257,4,אשכול יהודה ושומרון           
